,Text
40,  #세월호_5주기 #REMEMBER0416 세월호가 가라앉은지 이제 5년이 되었습니다.. 잊어선 안될 그 날을 함께 기억해주세요. 사진은 가져가서 추모 용도로 사용해주세요. 공유 부탁드려요. pic.twitter.com/r3Jbzo49V2  
41,"   황교안, 문 대통령에 “몰염치·몰상식···국민이 달 가리키면 달 봐야” news.khan.kr/PMxY  교활한 놈! 바끄네 밑에 있을 때, 김학의 사건, 세월호 비극 진상 규명하라며, 온 국민이 달을 가리킬 때, 진상규명은 커녕 바끄네 얼굴만 쳐다보며 감추기에 급급했던 놈이 무슨 염치로 그런 말을 하냐?  "
42,"   단언컨대 세월호에 대해 악담하는 것은 말할 것도 없고, 불편해하는 목사나 교회가 있으면 발길을 끊으십시오. 그것만으로 충분히 그 교회에 대한 검증과 평가가 됐습니다.  "
43,  세월호 침몰 원인이 아직도 밝혀지지 않았나요?  좌파들과 유족들이 말하는 그날의 진실은 뭘 말하는겁니까?  가라앉는 배에서 극도의 공포와 고통으로 죽어가는 아이들을 끊임없이 상기하여 국민감성을 자극하고 슬픔과 동정을 이용하여 못된 정치질해대는 좌파세략과 문재인 정권  천벌을 받을것이다  
44,"   <세월호 참사 5주기> - 성남 분당 이매동 도로에서 ""별이된 아이들아, 안전한 그곳에서                  잘 지내렴...."" pic.twitter.com/HIXPS9t0KS  "
45,  #가만히있으라_이승환 #세월호_5주기_기억문화제   그날 아침 하늘은 기울었을 테고 아이들은 하나 둘 울었으리라 보고픈 엄마 아빨 불렀을 테고 어른들은 나직히 소리쳤었다 가만 가만 가만히 거기 있으라  (아이들에게 더이상 가만 있지만 말라고 아니라고 판단되면 움직이라고 말해줘야 한다.) pic.twitter.com/m2P073X9O6  
46,   RT Queen_luuuv: 다음주 화요일(4월 16일)은 세월호 참사 5주기가 되는 날 입니다 #rt추첨 한 분께 사진속의 노란리본 고리와 뱃지 한개를 우편으로 보내드리겠습니다 알티 부탁드려요 pic.twitter.com/Tgh2jbwPex  
47,   내일부터 월요일까지 열리는 세월호 5주기 추모행사들을 공유합니다. 마음껏 퍼가셔도 좋습니다.  저도 광화문과 은평 등에서 열리는 추모행사에 있을 예정입니다. 마주치면 반갑게 인사 나누면 좋겠습니다. pic.twitter.com/FuYmzDMT9A  
48,  세월호 참사 5주기를 앞두고 '저널리즘 토크쇼 J' 에서 아주 적절한 소재를 다뤘습니다. pic.twitter.com/aeHwTabq4N  
49,"   <4월16일 오후3시, 세월호를 기억하는 시간입니다> 세월호 참사 5주기 당일인 16일 오후3시, 안산시 전역에 1분간 추모사이렌이 울립니다. 희생자들을 위해 함께 추모해주시길 당부드립니다.  news.v.daum.net/v/201904120923…  "
50,"   <Festival>에 ""축제""가 아닌 다른 뜻이 있으면 좀 가르쳐 줘 봐.  경기도가 [세월호 페스티벌]을 연다는데 6.25나 5.18도 기념 축제를 할건가?  도지사가 헤까닥하니 소속 공무원들도 모두 비슷해진겨?  "
51,   아픈 계절이 다가오고 있습니다... 4월... 그리고 5월...  오늘 뉴비씨 뉴스신세계는 세월호 유가족 ‘예은아빠’ 유경근님 모시고 유가족들의 근황과 밝혀지지 않은 그날의 진실에 대해 이야기 나눠 볼 예정입니다.  #잊지않겠습니다 #함께가요 pic.twitter.com/IY3Okgm6DM  
52,"   해경이 안왔으면 다 살았을 304명... 모두 우리 딸, 아들... 그리고 보고싶은 내 딸 예은이...  304명 희생자들의 명령은 진상규명과 처벌 그리고 안전한 사회입니다. ‘특별수사단 설치’와 ‘전면재수사’를 대통령께서 지시하실 수 있도록 <국민청원/서명>에 참여해주세요.  youtu.be/RJo02L__oms  "
53,  세월호 참사 5주기가 다가오지만  그날의 학살범은 밝혀지지 않고 오로지 은폐 조작질만 일삼은  세월호의 진실을 찾고자 # 국민청원과 서명을 받고 있읍니다.. 공유하시고 서명도 함께 부탁 합니다. pic.twitter.com/6A6rR3a62f  
54,"  세월호를 잊지 말아야 한다는 것은 단지 추모의 메시지가 아니라, 이 사회를 지탱하고 회복하기 위한 우리의 책임입니다. 가슴 시린 4월, 세월호 5주기를 맞아 은평에서 추모행사가 열립니다. 세월이 지나도 세월호는 잊혀지지 않길 바라며 여러분의 많은 관심과 참여를 부탁드립니다. pic.twitter.com/Hvmq3GFbzB  "
55,"   영화 생일. 각오하고 왔지만, 막연히 생각하던 세월호의 슬픔을 명확하게 마주하게 된 영화였어요.  용기있게 이 영화를 만들고 출연한 분들을 응원하고 싶어요. 영화 '생일' 티켓을 가져오시면 4월 내내 광장카레를 무료로 드립니다. pic.twitter.com/3BMMRt8387  "
56,   Behind is the Devil Illuminati and Samsung   Samsung Electronics vice chairman Jae yong-Lee   killed youngest sister  yoon hyung-Lee  The birth mother is different  blog.daum.net/asukaallin7777… youtu.be/5cdFZjhIuyg @YouTube 님이 공유  
57,"   민경욱 면상만 봐도 정상이 아니라는 느낌이 팍 온다. 세월호 참사 당일 아이들 생사를 가르는 골든타임에 낄낄대는 민경욱은 인간도 아니였다.  황교안, 나경원, 민경욱, 참으로 '환상의 바퀴벌레 3종 세트'라는데, 동의하시면 RT 꾹~~ pic.twitter.com/ui2l57XQgS  "
58,"   몇년 전 세월호 참사와 메르스 대처에서 세계 최악의 '무능'을 드러냈던 나라가, 이번 산불엔 세계 최고의 '유능'을 과시했습니다. 국민의 안전을 지키는 게 '안보'입니다. 최악의 '안보무능 집단'이 최고의 '안보유능 집단'을 향해 '안보무능'이라고 비난하는 게, 가장 심각한 '안보불안 요인'입니다.  "
59,   어제 다시 봄이 온 광화문  세월호 기억식! #이승환 #광화문 pic.twitter.com/kHz7dMmRT2  
60,   큰 교회 목사들아... 이 목사를 섬기는 인간들아...  아니 2000여년전 죽은 예수를 떠올리며 그리들 처 우는 사람들이  불과 5년밖에 안되는 세월호 희생자들을 잊으라니 지겹다는 패악한 요설로 지랄발광들 하십니까?  당신들이 무슨 기독교인이고 당신들이 무슨 크리스챤입니까?  박근혜 하수인이지  
61,"   펌●21세기 희대의 대표적 가짜뉴스● ^광우병, 미국소고기 먹으면 광우병걸린다. ----- 양승동 MBC사장  ^세월호는 박근혜前대통령의 인신공양이엇다. ------ 주진우/김어준 : 야들은 출연료 천만원? ^테블릿 가짜뉴스ㅡ 손석희 ^최순실재산 300조 ㅡ 안민석 가짜뉴스 원조 : 김대중 : pic.twitter.com/xdPGHr3wfZ  "
62,   2시 경에 귀가했습니다. 12시 50분에 풀려났지만 용인에 거주 중이라 시간이 꽤 걸렸습니다. 저는 단지 세월호 참사를 잊지 않고 추모하고 싶었던 평범한 시민입니다. 제 친구들도요. 그러나 극우세력들은 추모하러 가는 길목마다 저희를 괴롭혔습니다. 제 친구들이 젊은 여성이었기 때문일까요?  
63,   몇십명 모여서 세월호 추모하는것만 보이고 광화문을 쫙덮은 저태극기 물결은 안보이느냐? 박근혜 대통령 석방. 문재인 퇴진을 외치는 저 아우성은 안들리냐구?  
64,"   ‘산불에 술?’ 민주 “가짜뉴스와 전쟁”…한국 “해명하면 될 일” (출처 : KBS | 네이버 뉴스) naver.me/xwvHysnS 세월호 7시간과 비교해, 대통령의 산불 조기 진화노력을 깍아내리는 차원을 넘어, 의혹이라는 이름으로 집채만큼 키워 명예를 극도로 훼손시키려는 야비한 정치공작 아닙니까 ?  "
65,  #RT 현재 세월호 사건 유가족 분과 직접 뵈어 사진 속 종이를 저희에게 나눠주셨습니다. 세월호 사건이 제대로 조사되지 않아 현재 유가족분들께서 추진하신다고 합니다. 5년째 세월호가 왜 침몰했는지 밝혀지지도 않고 있으며 유가족분들께선 힘쓰고 계십니다. 다들 청원 해주시고 관심 가져주세요. pic.twitter.com/xHn1qNtgiJ  
66,   그날 흐드러진 꽃잎처럼 어여쁜 아이들을 떠나보냈습니다.  그렇게 다섯번째 봄을 맞이했습니다. 아직 아무것도 밝혀진 것이 없습니다.  그날의 다짐과 약속 다시 한번 되새겨봅니다. 🎗잊지않겠습니다 🎗함께하겠습니다  #뉴욕_뉴저지_세월호_5주기_행사 pic.twitter.com/gQP7LzjU6b  
67,"   혹시... 박근혜 세월호 7시간 따지는 것은 당연한거고, 고성 산불 문재인 5시간 뭐했는냐는 질문에는 어이 없다고 생각한다면..  당신은 이미 균형감을 잃어 버린 사람이다.  "
68,"   [홍팀] 강원 산불화재 당일 문재인 대통령의 행적에 대해 터무니없는 가짜뉴스가 떠돌고 있습니다.  피해 복구 등 민생현안은 외면한 채 비교 자체가 부적절한 세월호 사건 당시 박근혜 7시간 까지 거론하는 등, 국가재난마저 정쟁의 도구로 삼는 일부 야당의 정치 공세에 강한 유감을 표합니다. pic.twitter.com/lo6oqFrfHV  "
69,   “곧 세월호 참사 5주기입니다.304분의 희생자들이 배에 갇혀 유명을 달리할때 국가는 무기력했습니다.조금만더 일찍 대응했더라면 훨씬 많은 생명을 구할 수 있었을텐데 하는 자괴감에 어쩔수가 없었습니다.민주당은 세월호 참사의 진실을 밝힐때까지 최선을 다하겠습니다.” #remember0416 #부재의기억 pic.twitter.com/aKU0eh4g8w  
70,  세월호참사 유가족 안명미 님의 부탁(1)  밖에 나가면 저희에게 입에 담지 못할 말까지 하는 사람들이 정말 많아요. 너네 때문에 나라가 이렇게 됐다며. 그래도 가방에 노란리본 매달고 계신 분 보면 ‘아 저분은 우리편이구나’ 하면서 안심이 되거든요. 그래서 리본 많이 달아주셨으면 감사하겠습니다  
71,"  세월호 사건 이후 남겨진 사람들의 일상을 다룬 영화 <생일>, 혹시 보셨나요? 유가족 분들이 관람을 간곡히 부탁하셨었고 이종언 감독님 또한 이전에 <친구들: 숨어있는 슬픔> 이라는 다큐멘터리를 연출하신 분이라 보러 갔었는데요. 이 영화가 나올 수 있어서 참 다행이란 생각과 함께, pic.twitter.com/AktcW7xGBf  "
72,"   “세월호참사 특별수사단 설치, 전면재수사 국민청원 4만명 돌파!!!”  **특별수사단 국민청원** www1.president.go.kr/petitions/5776…  **특별수사단 국민서명** goo.gl/forms/kn2XlF2T…  **홍보전단(PDF)** 416family.org/index.php/shar… pic.twitter.com/bTjOgX6EIk  "
73,"   [5년 전 그 약속, <국민청원/서명>으로 지켜주세요] “세월호 CC-TV저장장치, 누가 왜 조작하고 바꿔치기 했는가” <세월호참사 특별수사단 설치, 전면재수사 국민청원/서명>에 참여해주세요.  **특별수사단 국민청원** www1.president.go.kr/petitions/5776…  **특별수사단 국민서명** goo.gl/forms/kn2XlF2T… pic.twitter.com/5EiUa6nd7T  "
74,   우리는 세월호때 눈뜨고 속수무책으로 배가 가라앉는거를 바라 보았다. 어린 목숨들에.그냥 수면 아래로가라 앉는 거를 . .... 몇년후 우리는 이거를 봤다 ...이게 나라다! pic.twitter.com/NFIf7ODimB  
75,   이번주 화요일은 세월호 사건 추모일 입니다. 어느새 5년이라는 시간이 지났지만 우리 마음속에 영원하길 바랍니다. 덕질 하시는 중에도 꼭 4월 16일만은 기억하시고 같이 추모해주시길 바랍니다.  2014.4.16 잊지 않겠습니다. pic.twitter.com/ItpMaGs1ds  
76,  세월호참사 진상규명 방해자는 박근혜정권이 아니라 문재인정권이다. 3년동안 진상규명이 끝났어야지 변한게 없다.  
77,"   현재 대진연이 나경원 의원실에서 황교안,나경원 동반사퇴 투쟁중입니다.  김학의  성접대사건은폐 황교안은 사퇴하라 아들특혜채용의혹 황교안 면담을 요청한다 반민특위망언 나경원은 사퇴하라 세월호 진실 은폐주범 황교안은 사퇴하라 강원도 산불진압 방해 나경원 면담요청 pic.twitter.com/3N7ytI27xu  "
78,  세월호 5주기. 광화문광장에 가서 촛불 하나 보태고 집에 간다. 벌써 5년인데 무엇 하나 제대로 해결된 게 없다니 참.. pic.twitter.com/6N361X69eO  
79,   1조원이 넘게 국민 세금이 투입되어 세월호를 육지로 건져서 탈탈 털어 완전히 조사를 끝냈는데 아직도 세월호 침몰원인을 밝혀야한다고 주장하는 좌파 선동꾼들과 유족들은 도대체 어떤 진실을 알고 싶은것인가?  무능한 문재인 정권에 물어야하지 않나?  유병언과 관계가 남다른 문재인이 더 잘알것  
80,   [세월호참사 당시 단원고 교장 김진명 씨에게 최근 조선일보 인터뷰 내용에 대한 설명/해명을 요청합니다.] pic.twitter.com/U016qvKQrA  
81,"   ""그런 터무니 없는 주장을 하는 건 자꾸 세월호 때 정권이 제대로 대응하지 못했던 것에 대해서 반박하고 싶어 하는 겁니다. 그런데 반박이 안 되죠. 국민들은 이미 세월호 사건과 이 사건은 결과부터 다르고 진행 과정이 다르잖아요. 동해 산불에 대해서는 매뉴얼을 따라서 제대로 대처를 한 겁니다"" pic.twitter.com/MEyMmlLtnp  "
82,"   참으로 놀라운 발언이다 민주당 의원이 강원산불 참사와 세월호 참사 대통령이 5시간, 7시간 늦게 나왔는데 비난받고 안받는 차이가 대응실패와 성공이랍니다  이런 엉터리 결과론적인 짜맞추기 선동이 그 어디에 있을까요?  강원산불 대응이 선공했나? 탈거 다 탓다  좌파들 정말 악랄한놈들입니다  "
83,   [ 왜? 왜? 왜?? ] 제가 요즘 간담회에서 하는 얘기입니다. “왜? 진상규명이 이렇게 더딘가?” “왜? 세월호참사는 범죄인가?” “왜? 특별수사단 청원/서명을 하는가?” => facebook.com/63302782345497…  **특별수사단 국민청원** www1.president.go.kr/petitions/5776…  **특별수사단 국민서명** goo.gl/forms/kn2XlF2T… pic.twitter.com/TibUPE6ghI  
84,   뭐하는 새끼임 이거?ㅋ; 세월호를 주제로 액괴를 조물거리지 않나 뭐? 세월호가 죽길잘했다고? 이거 존나 대가리 빻은새끼 아님ㅋㅋ;; 개빡쳐서 계정 공개함 pic.twitter.com/1ZmEkyDVJR  
85,"   ""산불 북과 협의""하라는 문 대통령 지시에, 민경욱 “문재인 빨갱이 맞다”  국가적 재난에도 색깔놀이하는 민경욱,  세월호 참사 발생당일,  박근혜 청와대에서 브리핑 중간에 “난리났다”고 소리치며 웃은인간 아니냐?  지역구 주민앞에 가래침 뱉는 인간말종을 뽑은 인천 연수구 을 유권자들 대단하다. pic.twitter.com/kRBTBdr35C  "
86,"   오늘 틈나는 대로 YTN, 연합뉴스를 모니터링 했는데, 이상할 정도로 강원도 화재 현장에 대한 보도가 없다. 마치 아무 일도 없었다, 너희는 잊어라, 이런 느낌. 잔인할 정도로 카메라를 들이대던 세월호 현장과는 너무나 대비되는 언론의 태도를 어떻게 이해해야 할까. 누가 언론을 통제하고 있나.  "
87,  세월호의 침몰시도 자한당과 박근혜에게  학생들의 목숨을 반든시 구해야된다고 민주당이 잘 설명을 안해줬기 때문에 일부러 구조를 안한것이었군요~~ 그런거야?  ohmynews.com/NWS_Web/View/a…  
88,"   곧 다가오는 세월호 5주기를 맞아 영화 <생일> 보고 왔어요. 호평대로 슬픔을 강요하거나 눈물을 쥐어짜내지 않고 담담하게 그들의 일상을 그려냅니다. 천천히 그들의 시선을 따라가며 함께 울고 웃고 공감하게 만듭니다. 전도연, 설경구 배우님 연기 정말 전율입니다. 특히 후반 30분 생일 장면은..😂 pic.twitter.com/kXTT2Sb6WD  "
89,"   ""노랑나비"" 세월호 아픔과,,, 국민안전을 강조하며  공직사회 및 우리사회에 세월호의 아픔을 잊지말고 안전한 사회를 만들자는 의미에서 뱃지를 다셨습니다.  이처럼 대통령님께서는 공직사회 및 국민들께 당시 강조하고 계신 부분을 뱃지등을 통해 메시지를 전달하고 계셨습니다.  (다음) pic.twitter.com/etCpcoq04U  "
90,   광화문 인간띠로 만든 세월호 리본 pic.twitter.com/f7rpz7FK7T  
91,"   문재인 정권 보노라면 무능 감추기 위한 쇼만 능한 거 같습니다. 천안함, 세월호, 사드, 내수경제, 남북, 대미·중·일, 등 어느 거 하나 해결할 능력이 있어 보이지 않습니다. 언 발에 오줌 누듯 임시방편입니다. 컨텐츠도 없는 거 같습니다.  드루킹이라도 꺼내 붙여줘야 할 까봅니다.  "
92,   제가 사는 동네에 세월호 추모를 위한 시민분향소가 설치되었어요... 5주년이 된 현재까지 하늘로 간 분들이 왜 그리로 가야만 한 상황에 대한 진상규명이 시작도 되지 못한 채 이리 시간만 흘러갑니다 pic.twitter.com/S3tfCSqQqW  
